experiment_name,model_variant,dataset_variant,threshold,num_examples,accuracy,precision,recall,f1,avg_latency_ms,avg_confidence,cache_hits,cache_hit_rate,model_calls,tp,fp,fn,tn
test1_model_a_on_test,Model A,test,0.38,4808,0.9536,0.9344,0.9578,0.946,72.8,0.429,0,0.0,4808,1952,137,86,2633
test1_model_a_on_test,Model A,test,0.39,4808,0.9536,0.9353,0.9568,0.9459,72.8,0.429,0,0.0,4808,1950,135,88,2635
test1_model_a_on_test,Model A,test,0.40,4808,0.9547,0.9375,0.9568,0.9471,72.8,0.429,0,0.0,4808,1950,130,88,2640
test1_model_a_on_test,Model A,test,0.41,4808,0.9547,0.9383,0.9558,0.947,72.8,0.429,0,0.0,4808,1948,128,90,2642
test1_model_a_on_test,Model A,test,0.42,4808,0.9549,0.9388,0.9558,0.9472,72.8,0.429,0,0.0,4808,1948,127,90,2643
test1_model_a_on_test,Model A,test,0.43,4808,0.9549,0.9401,0.9544,0.9472,72.8,0.429,0,0.0,4808,1945,124,93,2646
test1_model_a_on_test,Model A,test,0.44,4808,0.9551,0.9409,0.9539,0.9474,72.8,0.429,0,0.0,4808,1944,122,94,2648
test1_model_a_on_test,Model A,test,0.45,4808,0.9551,0.9409,0.9539,0.9474,72.8,0.429,0,0.0,4808,1944,122,94,2648
test1_model_a_on_test,Model A,test,0.46,4808,0.9557,0.9423,0.9539,0.9481,72.8,0.429,0,0.0,4808,1944,119,94,2651
test1_model_a_on_test,Model A,test,0.47,4808,0.9563,0.9441,0.9534,0.9487,72.8,0.429,0,0.0,4808,1943,115,95,2655
test1_model_a_on_test,Model A,test,0.48,4808,0.9561,0.9445,0.9524,0.9484,72.8,0.429,0,0.0,4808,1941,114,97,2656
test1_model_a_on_test,Model A,test,0.49,4808,0.9563,0.945,0.9524,0.9487,72.8,0.429,0,0.0,4808,1941,113,97,2657
test1_model_a_on_test,Model A,test,0.50,4808,0.9561,0.9458,0.9509,0.9484,72.8,0.429,0,0.0,4808,1938,111,100,2659
test1_model_a_on_test,Model A,test,0.51,4808,0.9565,0.9476,0.95,0.9488,72.8,0.429,0,0.0,4808,1936,107,102,2663
test1_model_a_on_test,Model A,test,0.52,4808,0.9559,0.9475,0.9485,0.948,72.8,0.429,0,0.0,4808,1933,107,105,2663
test1_model_a_on_test,Model A,test,0.53,4808,0.9553,0.9479,0.9465,0.9472,72.8,0.429,0,0.0,4808,1929,106,109,2664
test1_model_a_on_test,Model A,test,0.54,4808,0.9549,0.9479,0.9455,0.9467,72.8,0.429,0,0.0,4808,1927,106,111,2664
test1_model_a_on_test,Model A,test,0.55,4808,0.9545,0.9483,0.9441,0.9462,72.8,0.429,0,0.0,4808,1924,105,114,2665
test1_model_a_on_test,Model A,test,0.56,4808,0.9538,0.9482,0.9426,0.9454,72.8,0.429,0,0.0,4808,1921,105,117,2665
test1_model_a_on_test,Model A,test,0.57,4808,0.9538,0.9486,0.9421,0.9453,72.8,0.429,0,0.0,4808,1920,104,118,2666
test1_model_a_on_test,Model A,test,0.58,4808,0.9524,0.9489,0.9382,0.9435,72.8,0.429,0,0.0,4808,1912,103,126,2667
test1_model_a_on_test,Model A,test,0.59,4808,0.9526,0.9494,0.9382,0.9437,72.8,0.429,0,0.0,4808,1912,102,126,2668
test1_model_a_on_test,Model A,test,0.60,4808,0.9528,0.9503,0.9377,0.9439,72.8,0.429,0,0.0,4808,1911,100,127,2670
test1_model_a_on_test,Model A,test,0.61,4808,0.9526,0.9507,0.9367,0.9436,72.8,0.429,0,0.0,4808,1909,99,129,2671
test1_model_a_on_test,Model A,test,0.62,4808,0.9528,0.9521,0.9357,0.9438,72.8,0.429,0,0.0,4808,1907,96,131,2674
test1_model_a_on_test,Model A,test,0.63,4808,0.953,0.953,0.9352,0.944,72.8,0.429,0,0.0,4808,1906,94,132,2676
test1_model_a_on_test,Model A,test,0.64,4808,0.953,0.9539,0.9342,0.944,72.8,0.429,0,0.0,4808,1904,92,134,2678
test1_model_a_on_test,Model A,test,0.65,4808,0.9528,0.9543,0.9333,0.9437,72.8,0.429,0,0.0,4808,1902,91,136,2679
test1_model_a_on_test,Model A,test,0.66,4808,0.9522,0.9552,0.9308,0.9428,72.8,0.429,0,0.0,4808,1897,89,141,2681
test1_model_a_on_test,Model A,test,0.67,4808,0.9522,0.9566,0.9293,0.9428,72.8,0.429,0,0.0,4808,1894,86,144,2684
test1_model_a_on_test,Model A,test,0.68,4808,0.9526,0.958,0.9289,0.9432,72.8,0.429,0,0.0,4808,1893,83,145,2687
test1_model_a_on_test,Model A,test,0.69,4808,0.952,0.9589,0.9264,0.9424,72.8,0.429,0,0.0,4808,1888,81,150,2689
test1_model_a_on_test,Model A,test,0.70,4808,0.9509,0.9592,0.9235,0.941,72.8,0.429,0,0.0,4808,1882,80,156,2690
test1_model_a_on_test,Model A,test,0.71,4808,0.9509,0.9606,0.922,0.9409,72.8,0.429,0,0.0,4808,1879,77,159,2693
test1_model_a_on_test,Model A,test,0.72,4808,0.9513,0.9621,0.9215,0.9414,72.8,0.429,0,0.0,4808,1878,74,160,2696
test1_model_a_on_test,Model A,test,0.73,4808,0.9513,0.9626,0.921,0.9413,72.8,0.429,0,0.0,4808,1877,73,161,2697
test1_model_a_on_test,Model A,test,0.74,4808,0.9501,0.9639,0.9166,0.9396,72.8,0.429,0,0.0,4808,1868,70,170,2700
test1_model_a_on_test,Model A,test,0.75,4808,0.949,0.9647,0.9132,0.9382,72.8,0.429,0,0.0,4808,1861,68,177,2702
test1_model_a_on_test,Model A,test,0.76,4808,0.948,0.9661,0.9092,0.9368,72.8,0.429,0,0.0,4808,1853,65,185,2705
test1_model_a_on_test,Model A,test,0.77,4808,0.9465,0.967,0.9048,0.9349,72.8,0.429,0,0.0,4808,1844,63,194,2707
test1_model_a_on_test,Model A,test,0.78,4808,0.9455,0.9679,0.9014,0.9334,72.8,0.429,0,0.0,4808,1837,61,201,2709
test1_model_a_on_test,Model A,test,0.79,4808,0.9438,0.9702,0.895,0.9311,72.8,0.429,0,0.0,4808,1824,56,214,2714
test1_model_a_on_test,Model A,test,0.80,4808,0.9438,0.9727,0.8925,0.9309,72.8,0.429,0,0.0,4808,1819,51,219,2719
test1_model_a_on_test,Model A,test,0.81,4808,0.9428,0.9732,0.8896,0.9295,72.8,0.429,0,0.0,4808,1813,50,225,2720
test1_model_a_on_test,Model A,test,0.82,4808,0.9413,0.9741,0.8852,0.9275,72.8,0.429,0,0.0,4808,1804,48,234,2722
test1_model_a_on_test,Model A,test,0.83,4808,0.9409,0.9756,0.8827,0.9268,72.8,0.429,0,0.0,4808,1799,45,239,2725
test1_model_a_on_test,Model A,test,0.84,4808,0.9413,0.9787,0.8808,0.9272,72.8,0.429,0,0.0,4808,1795,39,243,2731
test1_model_a_on_test,Model A,test,0.85,4808,0.9407,0.9797,0.8783,0.9263,72.8,0.429,0,0.0,4808,1790,37,248,2733
test1_model_a_on_test,Model A,test,0.86,4808,0.9399,0.9813,0.8749,0.925,72.8,0.429,0,0.0,4808,1783,34,255,2736
test1_model_a_on_test,Model A,test,0.87,4808,0.9395,0.9823,0.8729,0.9244,72.8,0.429,0,0.0,4808,1779,32,259,2738
test1_model_a_on_test,Model A,test,0.88,4808,0.9389,0.9828,0.871,0.9235,72.8,0.429,0,0.0,4808,1775,31,263,2739
